                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6321,                 4.4856,                 1.8826,                0.00304,                0.46429,                0.00473,                0.00151,                0.73762,                 4.8692,                 1.1497,             0.00018125,             0.00018125,             0.00018125
                      2,                 1.3911,                 3.7298,                 1.6277,                0.00936,                0.96429,                0.25136,                0.21515,                0.87614,                 4.7384,                 1.0811,             0.00036145,             0.00036145,             0.00036145
                      3,                 1.4225,                 3.2603,                 1.5955,                0.00885,                0.89286,                0.05825,                0.04212,                 1.2959,                 5.1342,                 1.4158,             0.00053422,             0.00053422,             0.00053422
                      4,                 1.3691,                 3.0994,                 1.5444,                0.91328,                  0.375,                0.50273,                0.29162,                  1.216,                 4.7726,                  1.326,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3625,                 2.9065,                 1.5416,                0.77776,                   0.25,                0.36156,                0.25284,                0.98826,                  5.211,                 1.1817,             0.00058787,             0.00058787,             0.00058787
                      6,                 1.3079,                  2.794,                 1.4885,                0.99464,                    0.5,                0.49841,                0.38266,                 1.0391,                 4.9675,                 1.1866,              0.0005755,              0.0005755,              0.0005755
                      7,                 1.2658,                 2.6016,                 1.4278,                0.89387,                0.46936,                0.52959,                0.36131,                0.85204,                 4.7635,                 1.1069,             0.00056313,             0.00056313,             0.00056313
                      8,                 1.2631,                  2.444,                 1.4282,                0.99486,                    0.5,                 0.6155,                0.41736,                0.89442,                 4.4413,                 1.1069,             0.00055075,             0.00055075,             0.00055075
                      9,                 1.1982,                 2.3377,                 1.3876,                0.98881,                    0.5,                0.53913,                0.35922,                0.94956,                  4.976,                 1.1076,             0.00053838,             0.00053838,             0.00053838
                     10,                 1.1974,                 2.2151,                 1.3521,                0.99507,                    0.5,                0.54425,                0.37144,                 1.0143,                 4.7735,                  1.187,               0.000526,               0.000526,               0.000526
                     11,                 1.1703,                 2.1164,                 1.3567,                 0.9927,                  0.375,                0.42048,                0.31682,                 1.1199,                 4.8835,                 1.2921,             0.00051363,             0.00051363,             0.00051363
                     12,                 1.1956,                 2.0357,                  1.379,                0.99052,                    0.5,                0.51597,                0.32733,                0.99306,                 4.6619,                  1.214,             0.00050125,             0.00050125,             0.00050125
                     13,                 1.1469,                 1.9137,                 1.3104,                 0.9887,                    0.5,                 0.4975,                0.32187,                 1.0131,                 5.2272,                 1.2226,             0.00048888,             0.00048888,             0.00048888
                     14,                 1.1216,                 1.8842,                  1.328,                0.99052,                  0.375,                0.45583,                 0.3937,                 1.0373,                 4.6398,                 1.2954,              0.0004765,              0.0004765,              0.0004765
                     15,                 1.0517,                 1.7567,                 1.2506,                0.99057,                  0.375,                0.49929,                0.33903,                 1.0101,                 4.9056,                 1.2179,             0.00046413,             0.00046413,             0.00046413
                     16,                 1.0782,                  1.765,                 1.2849,                      1,                  0.465,                0.54916,                0.32811,                 1.0834,                 5.3314,                 1.2182,             0.00045175,             0.00045175,             0.00045175
                     17,                 1.0633,                 1.7282,                 1.2738,                0.97486,                   0.25,                  0.385,                0.29446,                 1.0446,                 5.2154,                 1.2018,             0.00043937,             0.00043937,             0.00043937
                     18,                 1.0302,                  1.636,                 1.2547,                0.99214,                  0.375,                 0.4725,                0.32225,                 1.0045,                 4.2067,                 1.1571,               0.000427,               0.000427,               0.000427
                     19,                 1.0086,                 1.5543,                 1.2208,                0.49885,                    0.5,                 0.4975,                0.42615,                0.93584,                 4.9198,                 1.1173,             0.00041462,             0.00041462,             0.00041462
                     20,                 1.0097,                 1.4966,                 1.2195,                    0.5,                0.49076,                 0.4975,                0.38578,                 1.1862,                 4.5261,                 1.3065,             0.00040225,             0.00040225,             0.00040225
                     21,                  1.024,                 1.5398,                 1.2508,                0.39696,                 0.4848,                 0.4725,                0.36825,                 1.0508,                  4.649,                 1.2137,             0.00038988,             0.00038988,             0.00038988
                     22,                 1.0221,                 1.4503,                 1.2373,                0.49332,                  0.375,                 0.4725,                0.35589,                 1.1371,                 4.7091,                 1.2439,              0.0003775,              0.0003775,              0.0003775
                     23,                0.95022,                 1.3662,                  1.202,                 0.4921,                  0.375,                0.44393,                0.36223,                  1.012,                 4.7274,                 1.1799,             0.00036513,             0.00036513,             0.00036513
                     24,                 0.9429,                 1.3345,                 1.1896,                    0.5,                0.49285,                 0.4975,                0.39097,                 1.0179,                 4.3186,                 1.1841,             0.00035275,             0.00035275,             0.00035275
                     25,                0.93382,                 1.3637,                 1.1946,                    0.5,                0.49474,                 0.4975,                0.39956,                0.90056,                 4.7901,                 1.1181,             0.00034038,             0.00034038,             0.00034038
                     26,                0.93611,                 1.2929,                 1.1951,                    0.5,                0.49373,                 0.4975,                 0.3444,                 1.0802,                 4.5393,                 1.1844,               0.000328,               0.000328,               0.000328
                     27,                0.88005,                 1.2114,                 1.1466,                    0.5,                0.49499,                 0.4975,                0.38861,                0.95968,                 4.1822,                 1.1306,             0.00031562,             0.00031562,             0.00031562
                     28,                0.90884,                 1.2173,                 1.1732,                    0.5,                0.49669,                 0.4975,                0.40114,                  0.934,                 4.6045,                 1.1231,             0.00030325,             0.00030325,             0.00030325
                     29,                 0.8964,                 1.2475,                 1.1716,                0.49343,                  0.375,                0.45583,                0.37755,                 1.0577,                 4.4529,                 1.2171,             0.00029088,             0.00029088,             0.00029088
                     30,                  0.869,                 1.1784,                 1.1331,                    0.5,                0.49344,                 0.4975,                0.31077,                 1.1625,                 4.7515,                 1.3187,              0.0002785,              0.0002785,              0.0002785
                     31,                0.88421,                 1.1474,                 1.1402,                 0.4969,                    0.5,                 0.4975,                0.35569,                  0.926,                  4.454,                  1.161,             0.00026613,             0.00026613,             0.00026613
                     32,                0.83618,                 1.1029,                 1.1308,                0.38476,                    0.5,                 0.4725,                0.38785,                 0.9364,                 4.3425,                 1.1331,             0.00025375,             0.00025375,             0.00025375
                     33,                0.80898,                 1.1122,                 1.1102,                    0.5,                 0.4929,                 0.4975,                0.38968,                0.98839,                 4.5419,                 1.1714,             0.00024137,             0.00024137,             0.00024137
                     34,                0.79501,                 1.0413,                 1.1011,                0.49266,                  0.375,                 0.4725,                0.35302,                0.96045,                  4.413,                 1.1435,               0.000229,               0.000229,               0.000229
                     35,                0.78264,                 1.0214,                 1.0942,                0.49284,                  0.375,                0.45583,                0.35075,                0.87051,                 4.3943,                 1.1046,             0.00021662,             0.00021662,             0.00021662
                     36,                0.80008,                 1.0227,                 1.1027,                0.39668,                0.48338,                 0.4725,                0.36323,                0.92779,                 4.3874,                 1.1186,             0.00020425,             0.00020425,             0.00020425
                     37,                0.76143,                 1.0055,                 1.0831,                0.49256,                  0.375,                 0.4725,                0.35639,                0.93579,                 4.6103,                 1.1203,             0.00019188,             0.00019188,             0.00019188
                     38,                 0.7565,                0.95043,                 1.0916,                0.49287,                  0.375,                  0.435,                0.34173,                0.94035,                 4.4994,                 1.1444,              0.0001795,              0.0001795,              0.0001795
                     39,                0.75236,                0.96819,                 1.0764,                0.49298,                  0.375,                0.44393,                0.33055,                 1.0772,                 4.2657,                 1.2154,             0.00016713,             0.00016713,             0.00016713
                     40,                0.76275,                0.98236,                 1.0782,                    0.5,                0.49341,                 0.4975,                0.34723,                 1.0657,                 4.4653,                 1.2073,             0.00015475,             0.00015475,             0.00015475
                     41,                0.60072,                0.85606,                0.98778,                0.49267,                  0.375,                  0.435,                0.32439,                 1.1051,                 4.3631,                 1.2165,             0.00014237,             0.00014237,             0.00014237
                     42,                0.58994,                0.79361,                0.96564,                0.49305,                  0.375,                0.44393,                0.30809,                 1.0428,                 4.7122,                 1.1639,                0.00013,                0.00013,                0.00013
                     43,                0.54815,                 0.7397,                0.95478,                0.49321,                  0.375,                0.45583,                0.35953,                0.96016,                 4.5112,                 1.1364,             0.00011763,             0.00011763,             0.00011763
                     44,                0.54879,                0.73887,                0.94694,                    0.5,                0.49261,                 0.4975,                0.34789,                 1.0188,                 4.3514,                 1.1714,             0.00010525,             0.00010525,             0.00010525
                     45,                0.52747,                0.71685,                0.93971,                    0.5,                0.49279,                 0.4975,                0.36538,                0.93804,                 4.4776,                 1.1284,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.52204,                0.69006,                0.92245,                0.49297,                  0.375,                0.44393,                0.34392,                 1.0063,                  4.554,                 1.1743,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.49751,                0.68575,                0.92623,                0.49299,                  0.375,                0.44393,                0.35079,                 0.9523,                 4.4291,                 1.1574,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.49693,                0.67298,                0.91701,                0.49321,                  0.375,                0.44393,                0.35324,                0.96388,                 4.4655,                 1.1441,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.48182,                0.66392,                0.90973,                0.49326,                  0.375,                  0.435,                0.35477,                 1.0119,                 4.4688,                 1.1813,             4.3375e-05,             4.3375e-05,             4.3375e-05
